Count_Out,Count_In,station_id,station_name,longitude,latitude
68733,82693,354,"Northumberland Avenue, Strand",-0.123702,51.5068
68621,66131,671,"Parsons Green Station, Parsons Green",-0.201968,51.4751
68436,71892,157,"Wright's Lane, Kensington",-0.193068,51.5004
68232,68833,780,"Imperial Wharf Station, Sands End",-0.183165,51.4747
68229,67743,719,"Victoria Park Road, Hackney Central",-0.0541623,51.5364
68138,65775,169,"Porchester Place, Paddington",-0.165164,51.5147
67869,71666,810,"Tate Modern, Bankside",-0.098884952,51.50672097
67408,69712,115,"Braham Street, Aldgate",-0.0735377,51.5142
66899,72193,288,"Elizabeth Bridge, Victoria",-0.147479,51.4924
66750,67977,432,"Exhibition Road Museums, South Kensington",-0.173894,51.497
66719,66063,661,"All Saints Church, Portobello",-0.202609,51.5163
66480,74733,140,"Finsbury Square, Moorgate",-0.0856342,51.521
66453,65830,478,"Stepney Green Station, Stepney",-0.04667,51.5219
66307,70706,88,"Bayley Street, Bloomsbury",-0.132053,51.5186
66009,69955,301,"Marylebone Lane, Marylebone",-0.148105,51.5148
65976,66753,772,"Binfield Road, Stockwell",-0.122832,51.4725
65514,70576,392,"Imperial College, Knightsbridge",-0.179702,51.4994
65432,62557,144,"Kennington Cross, Kennington",-0.111436,51.4889
65276,65566,126,"Museum of London, Barbican",-0.0964969,51.5178
65244,64277,114,"Park Road (Baker Street), The Regent's Park",-0.15896400000000002,51.5245
65013,71223,388,"Southampton Street, Strand",-0.121724,51.5107
64985,65052,206,"New Road 1, Whitechapel",-0.06275,51.5181
64877,52515,98,"Hampstead Road, Euston",-0.138231,51.5255
64841,60406,486,"Granby Street, Shoreditch",-0.069543,51.5256
64781,66618,508,"Fournier Street, Whitechapel",-0.074431,51.5194
64704,66848,58,"New Inn Yard, Shoreditch",-0.07924810000000003,51.5245
64676,68970,160,"Waterloo Place, St. James's",-0.131774,51.5066
64580,65547,589,"Drayton Gardens, West Chelsea",-0.179369,51.4872
64478,54253,253,"Shoreditch Park, Hoxton",-0.0863797,51.534
64376,59805,449,"Shadwell Station, Shadwell",-0.057159,51.5111
64343,79434,335,"Tavistock Street, Covent Garden",-0.120719,51.512
64238,61624,94,"Bricklayers Arms, Borough",-0.0858145,51.4951
64211,68190,411,"Walworth Road, Elephant & Castle",-0.0996807,51.4934
63827,62906,234,"Liverpool Road (N1 Centre), Angel",-0.106993,51.5345
63826,58031,433,"Wren Street, Holborn",-0.116279,51.5246
63686,61340,28,"Bolsover Street, Fitzrovia",-0.14361400000000002,51.5235
63678,62652,268,"Belgrave Road, Victoria",-0.14413299999999998,51.4932
63617,61682,47,"Warwick Avenue Station, Maida Vale",-0.183846,51.5233
63575,61929,457,"Castlehaven Road, Camden Town",-0.145393,51.5421
63216,54572,465,"Pitfield Street North,Hoxton",-0.08249,51.5356
63207,64546,798,"Birkenhead Street, King's Cross",-0.122299,51.5302
62971,64104,613,"Woodstock Grove, Shepherd's Bush",-0.2174,51.504
62785,65280,292,"Montpelier Street, Knightsbridge",-0.165472,51.4989
62703,59986,462,"Bonny Street, Camden Town",-0.138853,51.5416
62087,62329,33,"Central House, Aldgate",-0.0678275,51.5168
61940,60615,596,"Parson's Green, Parson's Green",-0.199783,51.4728
61856,61743,68,"Theobald's Road, Holborn",-0.116688,51.5206
61556,64593,572,"Greenland Road, Camden Town",-0.141728,51.5391
61467,62052,376,"Millbank Tower, Pimlico",-0.125675,51.4919
61404,68387,646,"Buckingham Gate, Westminster",-0.137425,51.4989
61336,61110,692,"Cadogan Close, Victoria Park",-0.0289416,51.5421
61317,63605,313,"Wells Street, Fitzrovia",-0.138073,51.5173
61034,61627,163,"Sloane Avenue, Knightsbridge",-0.16789500000000002,51.4932
60956,61514,393,"Snow Hill, Farringdon",-0.103604,51.5173
60734,64776,558,"Page Street, Westminster",-0.127554,51.494
60686,67604,27,"Bouverie Street, Temple",-0.107928,51.5138
60580,66292,383,"Frith Street, Soho",-0.131214,51.5131
60469,55237,397,"Devonshire Terrace, Bayswater",-0.17977,51.5135
60126,67426,510,"Westferry DLR, Limehouse",-0.025996,51.5093
59951,68728,273,"Belvedere Road 1, South Bank",-0.114686,51.5061
59914,65355,320,"Queen Mother Sports Centre, Victoria",-0.139956,51.4936
59840,60099,399,"Brick Lane Market, Shoreditch",-0.071654,51.5226
59580,52692,534,"Goldsmith's Row, Haggerston",-0.066035,51.5319
59548,63198,2,"Phillimore Gardens, Kensington",-0.197574,51.4996
59519,55611,219,"Bramham Gardens, Earl's Court",-0.190394,51.4902
59346,63159,357,"Howland Street, Fitzrovia",-0.139016,51.521
59277,56395,67,"Hatton Garden, Holborn",-0.108028,51.5188
59248,61633,811,"Westferry Circus, Canary Wharf",-0.027775894,51.50569679
59118,58370,723,"Stephendale Road, Sands End",-0.190346,51.4682
58952,48715,42,"Wenlock Road, Hoxton",-0.0939038,51.53100000000001
58920,58782,546,"New Fetter Lane, Holborn",-0.107987,51.5174
58844,51880,387,"Fire Brigade Pier, Vauxhall",-0.121394,51.4937
58764,56408,568,"Bishop's Bridge Road West, Bayswater",-0.18697,51.5162
58728,56990,479,"Pott Street, Bethnal Green",-0.058005,51.5272
58668,57560,421,"Southwark Station 2, Southwark",-0.105312,51.504
58629,57403,710,"Albert Bridge Road, Battersea Park",-0.163348,51.4744
58494,57492,183,"Riverlight North, Nine Elms",-0.136124,51.4824
58427,50769,254,"Chadwell Street, Angel",-0.106408,51.5305
58350,61710,395,"Cadogan Gardens, Chelsea",-0.159919,51.4925
58309,58871,57,"Guilford Street, Bloomsbury",-0.120203,51.5233
58029,56056,446,"York Hall, Bethnal Green",-0.055894000000000006,51.5289
58016,56290,749,"Haggerston Road, Haggerston",-0.0742847,51.5393
57941,58595,22,"Northington Street, Holborn",-0.114079,51.5223
57725,49092,333,"Palace Gardens Terrace, Notting Hill",-0.193764,51.5086
57669,52927,500,"Ansell House, Stepney",-0.055731,51.5198
57632,58950,691,"Erin Close, Walham Green",-0.195777,51.4795
57609,56389,77,"Russell Square Station, Bloomsbury",-0.124122,51.5234
57460,59027,682,"Crisp Road, Hammersmith",-0.226606,51.4881
57348,55192,768,"Clapham Common North Side, Clapham Common",-0.159322,51.4613
57332,70405,108,"Abbey Orchard Street, Westminster",-0.132102,51.4981
57295,54634,329,"Prince Albert Road, The Regent's Park",-0.160854,51.5359
57150,52415,511,"Sutton Street, Shadwell",-0.053558,51.5111
57073,58519,166,"Seville Street, Knightsbridge",-0.159237,51.5019
57025,53656,294,"St. George's Square, Pimlico",-0.13563599999999998,51.4882
56961,50607,401,"Columbia Road, Shoreditch",-0.075375,51.5282
56675,57293,755,"The Vale, Chelsea",-0.17497200000000002,51.4851
56653,49701,36,"De Vere Gardens, Kensington",-0.184981,51.5017
56350,52198,552,"Watney Street, Shadwell",-0.056667,51.5115
56304,44085,524,"Lancaster Gate, Bayswater",-0.179668,51.5117
56291,52874,185,"Alderney Street, Pimlico",-0.140741,51.4881
56208,55527,626,"Normand Park, West Kensington",-0.204815,51.4844
55863,59888,129,"Golden Square, Soho",-0.137044,51.5119
55745,53396,190,"Rampayne Street, Pimlico",-0.132846,51.49
55718,55613,266,"Queen's Gate (North), Kensington",-0.180246,51.50100000000001
55537,59575,210,"Hinde Street, Marylebone",-0.151926,51.5168
55506,57050,364,"Alfred Place, Bloomsbury",-0.132339,51.5197
55497,54118,701,"Vicarage Crescent, Battersea",-0.176267,51.4729
55413,46895,330,"Eastbourne Mews, Paddington",-0.179135,51.5164
55267,49913,16,"Cartwright Gardens, Bloomsbury",-0.125979,51.5264
54906,53620,78,"Sadlers Sports Centre, Finsbury",-0.0994895,51.5249
54682,49155,31,"Fanshaw Street, Hoxton",-0.0833533,51.5295
54324,55179,324,"Ontario Street, Elephant & Castle",-0.101384,51.4965
54319,57163,718,"Ada Street, Hackney Central",-0.0602918,51.5357
54312,62663,3,"Christopher Street, Liverpool Street",-0.0846057,51.5213
54275,54612,800,"Sopwith Way, Battersea Park",-0.149035,51.4811
54266,62343,197,"Stamford Street, South Bank",-0.111607,51.5056
54020,56264,102,"Jewry Street, Aldgate",-0.0767934,51.5134
54010,50635,707,"Barons Court Station, West Kensington",-0.215087,51.4902
53868,54674,409,"Strata, Elephant & Castle",-0.099828,51.4931
53866,55798,6,"Broadcasting House, Marylebone",-0.144229,51.5181
53847,55371,792,"Blackfriars Road, Southwark",-0.104541,51.5055
53626,55367,15,"Great Russell Street, Bloomsbury",-0.127854,51.5177
53556,45103,489,"Christian Street, Whitechapel",-0.06409400000000001,51.5131
53415,52797,458,"Wapping Lane, Wapping",-0.05754400000000001,51.5047
53239,49019,531,"Twig Folly Bridge, Mile End",-0.042744,51.5303
53142,46351,748,"Hertford Road, De Beauvoir Town",-0.0792018,51.5373
53103,57356,706,"Snowsfields, London Bridge",-0.0836329,51.5022
53074,50787,379,"Turquoise Island, Notting Hill",-0.200838,51.5143
52956,60564,122,"Norton Folgate, Liverpool Street",-0.0788698,51.5211
52837,56901,41,"Pindar Street, Liverpool Street",-0.08391119999999999,51.52
52801,55482,244,"Earnshaw Street, Covent Garden",-0.12858499999999998,51.5161
52631,53935,87,"Devonshire Square, Liverpool Street",-0.0796846,51.5165
52589,50293,37,"Penywern Road, Earl's Court",-0.192369,51.4916
52571,51986,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",-0.0157176,51.5494
52455,52575,319,"Baldwin Street, St. Luke's",-0.0885428,51.527
52447,43354,30,"Windsor Terrace, Hoxton",-0.0934216,51.5292
52311,54182,581,"New Cavendish Street, Marylebone",-0.147983,51.5192
52263,46907,243,"Gloucester Street, Pimlico",-0.139625,51.49100000000001
52172,51692,787,"Timber Lodge, Queen Elizabeth Olympic Park",-0.014691299999999997,51.5468
52117,54674,221,"Horseferry Road, Westminster",-0.130459,51.4948
52092,55758,141,"Chapel Place, Marylebone",-0.147204,51.5153
51936,56619,400,"George Street, Marylebone",-0.154106,51.5177
51916,52865,81,"Great Titchfield Street, Fitzrovia",-0.141327,51.5203
51912,54801,368,"Harriet Street, Knightsbridge",-0.159341,51.5002
51841,51542,315,"The Tennis Courts, The Regent's Park",-0.15346400000000002,51.5254
51811,50323,43,"Crawford Street, Marylebone",-0.157184,51.5203
51641,47280,584,"Ilchester Gardens, Bayswater",-0.19096,51.5124
51610,53527,378,"Natural History Museum, South Kensington",-0.179078,51.4956
51497,49078,216,"Old Brompton Road, South Kensington",-0.181191,51.4909
51427,49876,729,"St. Peter's Terrace, Fulham",-0.208485,51.4789
51245,52781,801,"Lavington Street, Bankside",-0.0980318,51.5052
51076,37693,222,"Knightsbridge, Hyde Park",-0.15535,51.5028
50976,48171,491,"Queen Mary's, Mile End",-0.041378,51.5225
50947,51334,784,"East Village, Queen Elizabeth Olympic Park",-0.00993526,51.5463
50864,54844,318,"Sackville Street, Mayfair",-0.138846,51.51
50839,51136,97,"Gloucester Road (North), Kensington",-0.183835,51.4979
50658,38851,351,"Macclesfield Rd, St Lukes",-0.097122,51.5294
50644,51310,237,"Dock Street, Wapping",-0.06717639999999997,51.5084
50423,52049,280,"Royal Avenue 2, Chelsea",-0.162727,51.4899
50380,50977,9,"New Globe Walk, Bankside",-0.0964408,51.5074
50216,49809,277,"Kensington Church Street, Kensington",-0.191496,51.5032
50089,56125,226,"Charles II Street, West End",-0.131961,51.5084
49928,49188,622,"Lansdowne Road, Ladbroke Grove",-0.205536,51.5075
49860,41348,410,"Edgware Road Station, Marylebone",-0.169774,51.52
49856,46121,223,"Rodney Road, Walworth",-0.0902209,51.4915
49826,50916,201,"Dorset Square, Marylebone",-0.161113,51.5226
49364,54049,174,"Strand, Strand",-0.11516300000000003,51.5125
49327,49790,783,"Monier Road, Hackney Wick",-0.0216304,51.5403
49306,51436,54,"Golden Lane, Barbican",-0.0944751,51.5217
49268,48409,148,"Tachbrook Street, Victoria",-0.13836500000000002,51.4921
49180,50811,260,"Broadwick Street, Soho",-0.135581,51.5137
49026,47342,11,"Brunswick Square, Bloomsbury",-0.122502,51.524
49017,49439,224,"Queensway, Westminster",-0.1874024,51.51031
48904,51235,263,"St. Mary Axe, Aldgate",-0.08066010000000001,51.5142
48695,51109,162,"Southampton Place, Holborn",-0.121328,51.5176
48563,47448,459,"Gunmakers Lane, Old Ford",-0.03338,51.5352
48481,47248,452,"St. Katharine's Way, Tower",-0.070542,51.5057
48288,50425,358,"High Holborn, Covent Garden",-0.124332,51.5164
48247,46521,727,"Chesilton Road, Fulham",-0.20587600000000006,51.4757
48083,46846,662,"Phene Street, Chelsea",-0.16792,51.485
47975,45059,485,"Old Ford Road, Bethnal Green",-0.048017,51.5311
47859,45387,75,"Torrens Street, Angel",-0.105481,51.5322
47663,48931,570,"Upper Bank Street, Canary Wharf",-0.017676,51.5031
47638,49667,230,"Poured Lines, Bankside",-0.103137,51.5067
47564,45116,200,"LMU Commercial Road, Whitechapel",-0.066078,51.5149
47439,45557,633,"Vereker Road, West Kensington",-0.209379,51.4896
47192,47132,184,"Portland Place, Marylebone",-0.14521199999999998,51.5207
47128,53860,309,"Embankment (Savoy), Strand",-0.119048,51.5096
47083,50460,481,"Saunders Ness Road, Cubitt Town",-0.009001,51.4871
47045,45251,817,"Riverlight South, Nine Elms",-0.13821289,51.48133503
47025,43695,424,"Ebury Bridge, Pimlico",-0.149186,51.4905
46938,45842,797,"Ossulston Street, Somers Town",-0.128281945,51.52930361
46773,49914,281,"Smith Square, Westminster",-0.127575,51.4958
46747,48690,621,"Wandsworth Town Station, Wandsworth",-0.187427,51.4609
46700,47575,440,"Kennington Oval, Oval",-0.113134,51.4831
46695,46765,595,"Hammersmith Road, Hammersmith",-0.21985,51.4933
46691,49601,735,"Grant Road East, Clapham Junction",-0.173029,51.4649
46617,47130,269,"Empire Square, The Borough",-0.0897408,51.5008
46589,35588,365,"City Road, Angel",-0.100168,51.5303
46587,41406,89,"Tavistock Place, Bloomsbury",-0.12351,51.5263
46535,45808,521,"Driffield Road, Old Ford",-0.037366,51.5341
46506,48440,506,"Bell Lane, Liverpool Street",-0.07585499999999999,51.5175
46499,44794,495,"Bow Church Station, Bow",-0.018703,51.5282
46440,44604,310,"Black Prince Road, Vauxhall",-0.116912,51.4909
46295,48808,180,"North Audley Street, Mayfair",-0.153645,51.5129
46293,48809,819,"Belvedere Road 2, South Bank",-0.114686,51.5061
46203,43488,105,"Westbourne Grove, Bayswater",-0.190241,51.5155
46170,42852,535,"Gloucester Avenue, Camden Town",-0.147154,51.5373
46084,52086,348,"Grosvenor Square, Mayfair",-0.150481,51.5122
46008,42376,265,"Southwick Street, Paddington",-0.169249,51.51600000000001
45987,39507,178,"Warwick Square, Pimlico",-0.141924,51.4899
45985,44652,537,"Old Montague Street, Whitechapel",-0.067937,51.5179
45959,43609,577,"Globe Town Market, Bethnal Green",-0.047548,51.5289
45882,47209,730,"Bridge Avenue, Hammersmith",-0.229117,51.4921
45860,38137,540,"Albany Street, The Regent's Park",-0.144466,51.5283
45857,53400,175,"Worship Street, Shoreditch",-0.0811189,51.5217
45787,43294,757,"Harcourt Terrace, West Brompton",-0.187405,51.488
45722,45252,125,"Borough High Street, The Borough",-0.0945243,51.5007
45688,44935,639,"Coomer Place, West Kensington",-0.202039,51.4836
45588,45621,653,"Simpson Street, Clapham Junction",-0.170704,51.4708
45522,44192,19,"Taviton Street, Bloomsbury",-0.131161,51.5251
45418,39694,117,"Lollard Street, Vauxhall",-0.114934,51.4929
45361,47125,347,"Lower Marsh, Waterloo",-0.113936,51.5001
45349,46737,381,"Charlotte Street, Fitzrovia",-0.135777,51.5195
44873,42897,664,"Austin Road, Battersea Park",-0.155443,51.4744
44817,46632,40,"Commercial Street, Shoreditch",-0.0755789,51.5213
44697,43326,580,"Doddington Grove, Kennington",-0.102996,51.4869
44673,45043,448,"Fisherman's Walk West, Canary Wharf",-0.02296,51.5062
44576,43660,242,"Beaumont Street, Marylebone",-0.151359,51.522
44561,43898,807,"Bevington Road West, North Kensington",-0.208617281,51.52113388
44548,42569,308,"Long Lane, Bermondsey",-0.0856663,51.4991
44462,49022,150,"Holy Trinity Brompton, Knightsbridge",-0.168917,51.4971
44308,45147,173,"Waterloo Road, South Bank",-0.113001,51.5049
44261,41843,255,"Clifton Road, Maida Vale",-0.179593,51.5256
44239,43229,756,"Prince of Wales Drive, Battersea Park",-0.15917,51.4752
43938,44069,742,"Blenheim Crescent, Ladbroke Grove",-0.208565,51.5151
43930,42849,676,"Hartington Road, Stockwell",-0.126874,51.4779
43917,43969,218,"St. Luke's Church, Chelsea",-0.170194,51.4897
43905,41171,444,"Bethnal Green Garden, Bethnal Green",-0.055312,51.5257
43844,26874,93,"Cloudesley Road, Angel",-0.109025,51.5344
43803,43835,600,"South Lambeth Road, Vauxhall",-0.124642,51.4817
43706,45446,790,"Stratford Station, Stratford",-0.00481,51.5418
43627,41521,152,"Hampton Street, Walworth",-0.101537,51.4922
43564,44364,72,"Farringdon Lane, Clerkenwell",-0.10834,51.5235
43481,43127,187,"Queen's Gate (South), South Kensington",-0.17843299999999998,51.4925
43473,40211,69,"Euston Road, Euston",-0.134408,51.5262
43370,37442,702,"Durant Street, Bethnal Green",-0.0655503,51.5287
43349,42596,121,"Baker Street, Marylebone",-0.156167,51.5189
43348,38542,235,"Kennington Road, Vauxhall",-0.11088900000000003,51.4957
43248,41525,295,"Swan Street, The Borough",-0.0927627,51.5003
